DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,AGE,STU,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_X,2014,8.264,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_TOTAL,2014,8.256,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_YES,2014,7.725,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_NO,2014,12.332,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_X,2014,7.122,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_TOTAL,2014,12.084,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_YES,2014,20.57,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_NO,2014,13.495,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_X,2014,9.596,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y25-29,STU_EDU_TOTAL,2014,8.196,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y25-29,STU_EDU_X,2014,8.196,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_TOTAL,2014,8.401,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_YES,2014,8.386,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_NO,2014,11.261,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_X,2014,7.447,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-19,STU_EDU_TOTAL,2014,6.865,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-19,STU_EDU_YES,2014,6.04,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
